year,ege_budg,total_income
2016,75.32,535253.3
2017,75.01,614306.3
2013,75.47,2031001.5439999998
2014,73.21,2345676.4
2015,73.39,3640150.3
2016,70.0,3595342.0
2017,70.81,3800412.2
2013,94.99,4468833.56
2014,93.83,5323372.8
2015,96.31,6323040.9
2016,96.78,6497365.3
2017,95.13,6444418.3
2013,70.28,4448805.055
2014,64.63,4773843.5
2015,67.88,4395179.1
2016,68.53,4000459.0
2017,72.8,4693029.1
2013,70.61,421031.8979999999
2014,66.73,422350.6
2015,65.57,418238.8
2016,67.65,450587.4
2017,65.18,534310.0
2013,63.61,225172.7205
2014,65.39,414987.7
2015,68.78,332610.9
2016,72.87,345047.4
2017,72.05,332324.5
2013,87.07,6486660.180000001
2014,86.39,5810483.9
2015,88.65,5694354.5
2016,89.87,5216843.8
2017,90.52,5032908.8
2013,68.78,863539.1404999999
2014,65.62,886265.5
2015,65.3,886019.1
2016,66.32,899696.3
2017,67.25,865892.0
2013,86.47,336793.83
2014,83.31,331967.8
2015,83.5,308180.8
2016,83.98,316327.0
2017,88.2,333079.0
2013,68.48,608581.1655000001
2014,67.6,635573.8
2015,69.61,636866.7
2016,70.24,697911.0
2017,71.68,788771.3
2013,66.39,1578347.883
2014,64.73,1814785.1
2015,62.36,1748356.1
2016,66.89,1600572.8
2017,66.3,1845577.0
2013,77.65,4045443.2485
2014,73.67,3917605.3
2015,73.01,4391205.8
2016,73.25,3947206.1
2017,75.1,4323499.4
2014,63.6,245171.2
2013,67.3,1222445.035
2014,62.49,1223893.2
2015,65.31,1179477.6
2016,62.34,1077325.6
2017,62.83,1087468.3
2013,73.83,217965.19999999998
2014,73.13,236046.9
2015,71.97,293616.5
2016,72.19,192776.0
2017,77.13,212264.5
2013,64.88,465699.1605
2014,60.98,521047.0
2015,60.57,510187.1
2016,65.1,496161.4
2017,64.83,518489.7
2013,64.56,1122899.605
2014,62.99,1127340.3
2015,63.71,1066209.2
2016,70.09,1020466.9
2017,71.83,1057510.4
2013,75.79,2062803.885
2014,68.98,2350715.4
2015,68.05,2369533.7
2016,71.76,2127817.3
2017,72.23,2459990.1
2013,86.14,3379861.9400000004
2014,82.42,4823270.4
2015,81.7,4331987.7
2016,83.15,3216993.6
2017,85.31,3187684.1
2013,73.89,740323.475
2014,72.62,769447.6
2015,72.06,749239.5
2016,75.45,772727.8
2017,74.2,780365.6
2013,65.68,351848.27
2014,58.04,336960.1
2015,59.95,319522.0
2016,55.76,316757.8
2017,52.41,319479.2
2013,66.47,222793.344
2014,66.66,222965.2
2013,63.34,674133.977
2014,61.43,675167.1
2015,59.86,685816.5
2016,65.31,613412.3
2017,65.79,647504.7
2013,60.51,1355680.6725
2014,61.64,1507510.6
2015,62.61,1653173.2
2016,65.54,2071344.5
2017,63.03,2022124.6
2013,72.02,1000195.8574999999
2014,67.54,852128.5
2015,66.6,860747.6
2016,63.95,899158.8
2017,66.85,1101666.9
2013,66.71,173262.397
2014,59.4,161960.4
2013,63.82,498438.824
